TIMESTAMP,TARGETVAR,U10,V10,U100,V100
2012-01-01 00:00:00,0.378229,0.534894,-3.660243,0.765355,-4.486657
2012-01-01 01:00:00,0.063012,0.330813,-2.676430,0.469875,-3.213752
2012-01-01 02:00:00,0.036704,-0.065839,-2.029072,-0.020893,-2.418119
2012-01-01 03:00:00,0.034342,-0.419549,-1.799090,-0.444867,-2.149654
2012-01-01 04:00:00,0.033554,-0.754224,-1.661526,-0.838274,-1.991829
2012-01-01 05:00:00,0.009452,-1.256680,-1.607863,-1.438856,-1.944644
2012-01-01 06:00:00,0.005198,-1.811815,-1.707522,-2.133403,-2.091079
2012-01-01 07:00:00,0.008664,-2.404137,-2.236056,-2.990408,-2.852002
2012-01-01 08:00:00,0.008034,-2.722432,-2.574641,-4.308745,-4.265919
2012-01-01 09:00:00,0.014808,-2.547126,-2.653432,-4.818193,-5.626143
2012-01-01 10:00:00,0.091525,-2.251408,-2.900450,-4.253272,-6.409845
2012-01-01 11:00:00,0.086011,-2.017224,-3.332305,-3.602877,-7.274900
2012-01-01 12:00:00,0.092785,-1.894156,-4.109135,-3.218527,-8.317847
2012-01-01 13:00:00,0.628859,-1.818013,-4.619355,-3.041918,-8.935588
2012-01-01 14:00:00,0.923283,-1.628098,-4.733069,-2.715306,-9.124870
2012-01-01 15:00:00,0.918715,-1.619244,-4.549508,-2.712476,-8.963248
2012-01-01 16:00:00,0.913043,-1.674581,-4.284603,-2.801346,-8.696410
2012-01-01 17:00:00,0.801985,-1.807388,-3.970294,-2.908896,-8.283678
2012-01-01 18:00:00,0.845936,-1.953919,-3.773531,-3.163054,-7.937657
2012-01-01 19:00:00,0.926118,-1.667055,-4.025234,-2.587944,-8.301576
2012-01-01 20:00:00,0.922495,-1.171240,-4.628299,-1.442818,-8.252764
2012-01-01 21:00:00,0.880592,-0.502775,-5.161943,-0.422225,-7.805322
2012-01-01 22:00:00,0.892722,0.366671,-5.891072,0.650446,-7.934945
2012-01-01 23:00:00,0.982514,1.580089,-6.145757,2.225772,-8.027687
2012-01-02 00:00:00,0.879490,1.268350,-6.079386,1.760672,-7.851118
2012-01-02 01:00:00,0.506144,1.417526,-5.135039,1.897953,-6.509528
2012-01-02 02:00:00,0.064902,1.181196,-4.463043,1.576767,-5.570522
2012-01-02 03:00:00,0.021739,1.055532,-3.942024,1.408403,-4.891697
2012-01-02 04:00:00,0.027410,1.187277,-3.508970,1.559671,-4.372941
2012-01-02 05:00:00,0.031821,1.237542,-2.609874,1.621836,-3.263159
2012-01-02 06:00:00,0.070573,2.941307,-0.106277,3.645306,-0.158657
2012-01-02 07:00:00,0.159735,4.104310,6.748589,5.504557,9.741055
2012-01-02 08:00:00,0.399653,3.228714,6.667814,4.537892,9.897913
2012-01-02 09:00:00,0.456679,3.183718,6.139606,4.652897,9.599723
2012-01-02 10:00:00,0.453056,2.427300,5.723467,3.549987,9.131826
2012-01-02 11:00:00,0.502048,1.835056,5.153815,2.639788,8.376981
2012-01-02 12:00:00,0.511815,1.041344,4.615457,1.381465,7.891417
2012-01-02 13:00:00,0.307971,-0.708633,3.640238,-1.378142,6.635483
2012-01-02 14:00:00,0.162728,-2.135936,3.048594,-3.635248,5.551397
2012-01-02 15:00:00,0.233459,-2.761015,2.582553,-4.675994,4.763896
2012-01-02 16:00:00,0.193289,-2.444422,1.985411,-4.631442,4.169121
2012-01-02 17:00:00,0.254883,-2.148908,1.943543,-4.403504,4.239252
2012-01-02 18:00:00,0.143510,-2.035405,1.658505,-4.133604,3.881637
2012-01-02 19:00:00,0.385318,-2.227955,2.054767,-3.848163,3.938385
2012-01-02 20:00:00,0.190296,-2.658862,2.471752,-4.110292,4.259060
2012-01-02 21:00:00,0.364052,-2.898029,1.403917,-4.286426,2.670138
2012-01-02 22:00:00,0.360113,-3.966176,-0.168021,-5.132906,-0.172577
2012-01-02 23:00:00,0.192187,-3.813352,-1.289142,-4.716401,-1.741155
2012-01-03 00:00:00,0.328607,-2.165453,-3.006075,-2.524751,-3.913239
2012-01-03 01:00:00,0.271739,0.022400,-3.645976,0.161066,-4.597602
2012-01-03 02:00:00,0.273472,2.087780,-3.537719,2.616911,-4.499758
2012-01-03 03:00:00,0.171078,1.766482,-2.435863,2.184716,-3.142510
2012-01-03 04:00:00,0.049937,1.576183,-2.663773,1.991428,-3.355691
2012-01-03 05:00:00,0.011972,0.806849,-2.996433,1.116692,-3.718097
2012-01-03 06:00:00,0.025362,0.465009,-2.335495,0.715065,-2.889427
2012-01-03 07:00:00,0.284972,0.145649,-1.383095,0.312499,-1.686872
2012-01-03 08:00:00,0.568053,-0.439200,-0.561305,-0.437141,-0.723188
2012-01-03 09:00:00,0.764965,-1.412009,0.658889,-1.404994,0.542774
2012-01-03 10:00:00,0.524260,-0.960874,1.519248,-1.396529,2.410015
2012-01-03 11:00:00,0.178166,0.871574,3.226380,0.984070,6.143402
2012-01-03 12:00:00,0.110744,1.330849,4.558776,1.751111,7.539459
2012-01-03 13:00:00,0.179112,2.441635,5.179391,3.411228,7.954887
2012-01-03 14:00:00,0.211405,3.316388,5.347694,4.650908,7.951060
2012-01-03 15:00:00,0.484247,2.947418,5.493644,4.118542,8.209063
2012-01-03 16:00:00,0.221645,2.552093,5.124167,3.641669,8.545779
2012-01-03 17:00:00,0.284814,2.319549,5.280198,3.165267,8.133084
2012-01-03 18:00:00,0.486925,1.753304,5.286772,2.320159,7.701804
2012-01-03 19:00:00,0.516698,1.027379,4.992681,1.306218,7.232807
2012-01-03 20:00:00,0.331128,0.496015,4.860318,0.557989,6.678539
2012-01-03 21:00:00,0.174543,0.072397,4.692015,0.002108,6.153241
2012-01-03 22:00:00,0.211720,-0.229910,4.596907,-0.390582,5.880479
2012-01-03 23:00:00,0.202426,-0.324866,4.518453,-0.506744,5.694083
2012-01-04 00:00:00,0.211405,0.477829,3.838144,0.517259,4.744426
2012-01-04 01:00:00,0.182577,0.516760,3.766130,0.556259,4.619760
2012-01-04 02:00:00,0.165721,0.636361,3.752506,0.699090,4.596652
2012-01-04 03:00:00,0.143510,0.875162,3.838631,0.974623,4.712804
2012-01-04 04:00:00,0.183995,1.044932,3.934000,1.183298,4.850849
2012-01-04 05:00:00,0.222432,0.978710,4.089219,1.080987,5.076464
2012-01-04 06:00:00,0.216919,0.536827,4.262442,0.507636,5.340999
2012-01-04 07:00:00,0.469597,-0.131816,4.161233,-0.353404,5.274105
2012-01-04 08:00:00,0.433837,-0.974644,3.994336,-1.493015,5.300255
2012-01-04 09:00:00,0.640989,-1.762888,2.858172,-3.433393,4.726183
2012-01-04 10:00:00,0.601449,-3.401586,2.338992,-5.948135,3.842574
